OBJECTID,NAME,PLZ,GPLZ,CANTON,CANTON_NR,BFSNR,CASES,SUBMISSIONS,FRACTION,POPULATION_AGGREGATED,SUBMISSIONS_PER_100K,CASES_PER_100K,Shape__Area,Shape__Length,Shape__Area_2,Shape__Length_2
137,Genève,1209,1200,GE,25,6621,0,0,0,9346,0,0,2306171.88208008,8623.92650521827,1104430.53979492,5969.80131330846
138,Grand-Lancy,1212,1212,GE,25,6628,0,0,0,15601,0,0,5426678.38818359,16585.3921809854,2602995.31494141,11486.8506693142
139,Petit-Lancy 1,1213,1213,GE,25,6628,0,0,0,34593,0,0,11462063.9807129,16298.9091561489,5495637.74487305,11287.2216002036
140,Vernier,1214,1214,GE,25,6643,0,0,0,8421,0,0,10235943.0908203,17681.6176767604,4903399.89257813,12242.6820793646
141,Genève ICC OLS,1215,1217,GE,25,6630,0,0,0,12,0,0,5694593.48828125,13738.6662543246,2725898.93701172,9503.9119830085
142,Cointrin,1216,1216,GE,25,6630,0,0,0,2544,0,0,1576078.78173828,7174.88144177714,754718.729736328,4965.9597161172
143,Meyrin,1217,1217,GE,25,6630,0,0,0,23125,0,0,16226243.8549805,17678.7479739627,7767229.18066406,12233.2372230954
144,Le Grand-Saconnex,1218,1218,GE,25,6623,0,0,0,11846,0,0,6146610.93676758,11769.8449201318,2942302.46313477,8141.72079047848
145,Le Lignon Distribution,1219,1219,GE,25,6643,0,2,0,20338,9.83381,0,7881614.19067383,13139.4241151927,3776584.8059082,9093.63744501594
146,Les Avanchets,1220,1220,GE,25,6643,0,1,0,5402,18.51166,0,446112.735595703,2656.96637002383,213651.643066406,1839.45507986405
147,Vésenaz,1222,1222,GE,25,6616,0,0,0,5319,0,0,10958005.498291,20550.3567656965,5243234.40698242,14215.9222763572
148,Cologny,1223,1223,GE,25,6617,0,0,0,5286,0,0,15497759.4875488,20026.393007621,7421600.03735352,13857.0782929154
149,Chêne-Bougeries,1224,1224,GE,25,6612,0,3,0,10331,29.03882,0,4942888.57250977,11159.6152464399,2369067.57177734,7725.85952558517
150,Chêne-Bourg Distribution,1225,1225,GE,25,6613,0,0,0,8480,0,0,2613118.25244141,9240.31466041504,1252540.75927734,6395.04555492953
151,Thônex,1226,1226,GE,25,6640,0,0,0,13959,0,0,8039805.48681641,17829.6123963098,3853896.97167969,12343.2283010708
152,Carouge GE,1227,1227,GE,25,6608,0,0,0,27170,0,0,7440027.22558594,14848.0289447115,3567892.39819336,10277.8304712964
153,Plan-les-Ouates,1228,1228,GE,25,6633,0,0,0,11436,0,0,11537377.8754883,18106.1659737715,5536826.17895508,12545.3665826574
154,Conches,1231,1231,GE,25,6612,0,0,0,2640,0,0,3743488.24804688,8441.67034441861,1795112.50537109,5844.28460622081
155,Confignon,1232,1232,GE,25,6618,0,0,0,4668,0,0,5631239.40600586,14681.6207218371,2701489.69238281,10166.1163712184
156,Bernex,1233,1233,GE,25,6607,0,1,0,10512,9.51294,0,26839655.8422852,33783.9554832251,12873770.4550781,23392.9648582205
157,Vessy,1234,1234,GE,25,6645,0,1,0,5594,17.8763,0,7602097.07788086,13982.81741084,3646982.98388672,9682.95002597992
